item_name,item_description,instore_price,barcodes
Floradix Floravital Liquid Iron + Vitamin Formula (500ml),"Floradix Floravital Liquid Iron + Vitamin Formula provides a gentle, easily absorbed source of iron combined with vitamins B2, B6, B12, and C to help reduce tiredness and fatigue while supporting energy release and overall vitality. This yeast- and gluten-free liquid formula is ideal for those with dietary restrictions and is made with natural fruit juices and herbal extracts for a pleasant taste. Gentle on the stomach and suitable for daily use, it helps maintain healthy iron levels and supports general wellbeing.

Age Restrictions – Suitable for adults and children over 3 years.

Always read the packaging and instructions before use.",18.5,4004148047503
Floradix Vitamin B Complex Liquid Formula (250ml),"Floradix Vitamin B Complex Liquid Formula provides a blend of essential B vitamins to help support energy production, reduce tiredness and fatigue, and maintain healthy nervous system function. This easily absorbed liquid formula combines vitamins B1, B2, B3, B6, B12, biotin, and pantothenic acid in a gentle, easy-to-digest base made from natural fruit juices and herbal extracts. Ideal for those who prefer a liquid supplement, it’s free from alcohol, artificial additives, and preservatives.

Age Restrictions – Suitable for adults and children over 3 years.

Always read the packaging and instructions before use.",13.9,4004148332401
Flowflex Covid Antigen Rapid Test (Pack of 5 Tests),"A rapid at-home COVID-19 antigen test that detects SARS-CoV-2 antigens from nasal swab specimens. This pack contains 5 individual tests. Results are available in 15-30 minutes. Suitable for both symptomatic individuals (within 7 days of symptom onset) and asymptomatic individuals. Detects Omicron variants including BA.1 and BA.2. The first FDA 510(k) cleared over-the-counter rapid antigen COVID test.

Always read Patient Information Leaflet before use.",11,6921756492434
Flowflex Covid Antigen Rapid Test (Single Test),"The Flowflex COVID-19 Antigen Rapid Test is a home-use test that detects SARS-CoV-2 antigens from a nasal swab sample. It provides results in 15 minutes, helping identify active COVID-19 infection in symptomatic individuals (within 7 days of symptom onset) and asymptomatic individuals. The test has been shown to detect Omicron variants including BA.1 and BA.2. Suitable for self-testing at home, this FDA-authorized rapid antigen test offers a quick and convenient way to screen for COVID-19 infection.

Always read Patient Information Leaflet before use.",2.3,6921756492427
Fybogel Lemon Ispaghula Husk (10 Sachets),"Fybogel Lemon Ispaghula Husk is a natural bulk-forming laxative that helps relieve constipation and maintain healthy bowel function. The lemon-flavoured granules are easy to mix with water, promoting gentle and effective relief. Suitable for adults and children aged 12 years and over. Do not exceed the recommended dose. Drink plenty of water while using. Always read the Patient Information Leaflet before use.",6.9,5000158066656
Gaviscon Advance Mint Chewable Tablets (24 Tablets),"Gaviscon Advance Mint Chewable Tablets provide fast and effective relief from heartburn and acid reflux. The mint-flavoured tablets form a protective barrier on top of stomach contents, soothing irritation and discomfort. Suitable for adults and children aged 12 years and over. Chew thoroughly before swallowing. Do not exceed the recommended dose. Always read the Patient Information Leaflet before use.",6.5,5000158067752
Gaviscon Advance aniseed Flavour (250ml),"Gaviscon Advance Aniseed Flavour (250ml) soothes, protects, and helps relieve heartburn and indigestion. Its fast-acting, raft-forming formula creates a protective barrier on top of the stomach contents, supporting natural digestion and reducing discomfort caused by acid reflux. Ideal for managing occasional or persistent heartburn, this easy-to-drink liquid provides effective, long-lasting relief.
Age Restrictions – Suitable for adults and children over 12 years.
Always read the product information and usage guidelines before use.",7.5,5011417591079
Gaviscon Double Action Mint Liquid (150ml),"Gaviscon Double Action Mint Liquid provides fast, long-lasting relief from heartburn and acid indigestion. Its unique dual-action formula works in seconds to neutralize excess stomach acid whilst forming a protective barrier over stomach contents, helping to soothe the burning sensation in your chest. The protective raft lasts up to 4 hours and is up to 2x longer lasting than regular antacids. Suitable for use during pregnancy and breastfeeding.

Age Restrictions - Not recommended for children under 12 years except on medical advice.

Always read Patient Information Leaflet before use.",6.3,5000158065888
Gaviscon Peppermint Chewable Tablets (Pack of 24),"Gaviscon Peppermint Chewable Tablets provide fast, soothing relief from heartburn and indigestion. They work by forming a protective layer on top of stomach contents, preventing acid from escaping into the food pipe and relieving the burning sensation. Suitable for symptoms of gastro-oesophageal reflux including acid regurgitation and indigestion, particularly after meals or during pregnancy.

Age Restrictions - Not suitable for children under 12 without doctor's advice.

Always read Patient Information Leaflet before use.",5.5,5000158071308
Haleon Cold & Flu Nurse All In One (16 Capsules),"Cold and Flu Nurse All In One (16 Capsules) helps relieve the symptoms of common colds and flu, including congestion, headaches, fever, and body aches. Each capsule combines a range of active ingredients designed to ease discomfort, support recovery, and help you feel more comfortable. Ideal for short-term use during illness, these easy-to-take capsules provide convenient, all-in-one relief when you need it most.
Age Restrictions – Suitable for adults and children aged 12 years and over.
Always read the Patient Information Leaflet before use.",7.1,5054563180704
Halls Throat Soothers Strawberry (45g),"HALLS Throat Soothers Strawberry provide soothing relief for everyday throat irritations. These throat lozenges temporarily relieve minor discomfort and irritation associated with sore mouth and sore throat, with a refreshing creamy strawberry flavor and no menthol taste.

Age Restrictions - Suitable for adults and children 5 years and older.

Always read Patient Information Leaflet before use.",0.9,5034660508038
"HuxD3 20,000 IU Colecalciferol Capsules (30)","HuxD3 20,000 IU Colecalciferol Capsules provide a high-strength dose of vitamin D3 to help maintain healthy bones, teeth, and muscles while supporting normal immune function. Each capsule contains 20,000 IU (500µg) of colecalciferol, the body’s natural form of vitamin D, making it ideal for those with clinically diagnosed deficiency or increased vitamin D requirements. Easy to swallow and suitable for intermittent use as advised by a healthcare professional.

Age Restrictions – Suitable for adults and children over 12 years.

Always read the Patient Information Leaflet before use and follow medical advice.",8.1,700371221706
Hycosan Intense Eye Drops (7.5 ml),"Hycosan Intense Eye Drops provide fast, long-lasting relief for severe dry eyes and irritation. Formulated with hyaluronic acid and ectoin, they hydrate and protect the eyes from dryness, redness, and strain. Preservative-free and suitable for contact lens wearers. Suitable for adults and children of all ages. Always read the Patient Information Leaflet before use.",18.5,4031626711922
Hylo-Forte Eye Drops (10ml),"Hylo-Forte Eye Drops provide intensive, long-lasting relief for severe or persistent dry eyes. Formulated with high-strength sodium hyaluronate, they restore moisture and comfort to irritated or tired eyes. Preservative-free and suitable for contact lens wearers. Suitable for adults and children of all ages. Always read the Patient Information Leaflet before use.",12.7,4031626710789
Ibuprofen & Paracetamol (16 Tablets),"Ibuprofen and Paracetamol tablets provide dual-action pain relief, combining anti-inflammatory and analgesic effects for fast and effective treatment of headaches, muscle aches, toothaches, and fever. The combination helps reduce pain and inflammation more effectively than either medicine alone. Suitable for adults and children aged 12 years and over. Do not exceed the recommended dose or use with other ibuprofen- or paracetamol-containing products. Always read the Patient Information Leaflet before use.",4.4,5017353506566
Ibuprofen 200mg Tablets (Pack of 16),"Ibuprofen 200mg tablets provide effective relief from minor aches and pains including headaches, back pain, period pain, toothache, muscular aches, and arthritis pain. This anti-inflammatory medicine (NSAID) also reduces fever and relieves symptoms of colds and flu. It works by reducing hormones that cause pain and swelling.

Age Restrictions: Suitable for adults and children 12 years and over.

Always read Patient Information Leaflet before use.",1.2,5017848251612
Ibuprofen 5% Gel (50g),"Ibuprofen 5% Gel provides fast, targeted relief from joint and muscle pain, inflammation, and stiffness. The gel is absorbed quickly through the skin, helping ease discomfort from strains, sprains, and sports injuries. Suitable for adults and children aged 14 years and over. For external use only. Always read the Patient Information Leaflet before use.",4.6,5011309267419
Imodium Dual Action Relief Tablets (6 Tablets),"Imodium Dual Action Relief Tablets provide fast and effective relief from acute diarrhea. The dual-action formula slows bowel movements while reducing fluid loss, helping to restore comfort and normality quickly. Suitable for adults and children aged 12 years and over. Do not exceed the recommended dose and avoid use in cases of severe or bloody diarrhea unless directed by a doctor. Always read the Patient Information Leaflet before use.",5.7,3574661609423
Imodium Instant Melts (pack of 12),"Imodium Instant Melts provide fast, effective relief from sudden or short-term diarrhoea. These discreet, mint-flavoured tablets dissolve instantly on the tongue, no water needed. making them ideal for on-the-go use. Containing loperamide, they work by restoring the natural rhythm of your bowel, helping to reduce symptoms and regain comfort and control. Suitable for relieving acute diarrhoea and diarrhoea associated with irritable bowel syndrome once diagnosed, Imodium Instant Melts offer convenient, soothing support when you need it most.

Age Restrictions – Suitable for adults and children aged 12 years and over.

Always read the Patient Information Leaflet before use.",8.1,5027097407326
Imodium Original 2mg Capsules (Pack of 6),"Imodium Original 2mg Capsules provide fast and effective relief from diarrhea. Each capsule contains loperamide hydrochloride, which works by slowing down an overactive bowel. This allows your body to reabsorb water and salts that are normally lost during diarrhea, helping to restore firmer, more normal stools. The capsules are used to treat short-term diarrhea and acute episodes of diarrhea associated with Irritable Bowel Syndrome (IBS).

Age Restrictions - For the symptomatic treatment of acute diarrhea in adults and children aged 12 years and over. For IBS-related diarrhea in adults aged 18 years and over.

Always read Patient Information Leaflet before use.",5.1,5027097901176
Infacol Oral Suspension (55ml),"Infacol Oral Suspension provides fast, gentle relief from infant colic, wind, and trapped gas. Suitable from birth, its active ingredient, simeticone, helps break down small bubbles in your baby’s tummy, making it easier to pass trapped wind and ease discomfort. The orange-flavoured, sugar-free formula is easy to give before feeds and helps reduce crying and discomfort associated with colic. Gentle enough for daily use to help keep your baby happy and settled.

Age Restrictions – Suitable from birth.

Always read the packaging and instructions before use.",6.7,5017007600848
Iron Deficiency Test (1),"Self-test to identify iron deficiency and anaemia.

Age Restrictions – Suitable for adults and children over 12 years.

Always read the packaging and instructions before use.",9.3,6936983101141
Jungle Formula Maximum Insect Repellent (50ml),"Jungle Formula Maximum Insect Repellent Spray offers powerful protection against mosquitoes, midges, and other biting insects. Its high-strength DEET-based formula provides up to 9 hours of effective defence, making it ideal for long stays outdoors or travel to high-risk areas. The easy-to-apply spray delivers reliable, long-lasting coverage without feeling sticky, helping keep you protected and comfortable wherever you go.

Age Restrictions – Suitable for adults and children over 12 years.

Always read the label before use.",9.3,5012616163050
Jungle Formula Maximum Insect Repellent Spray (125ml),"Jungle Formula Maximum Insect Repellent Spray offers powerful protection against mosquitoes, midges, and other biting insects. Its high-strength DEET-based formula provides up to 9 hours of effective defence, making it ideal for long stays outdoors or travel to high-risk areas. The easy-to-apply spray delivers reliable, long-lasting coverage without feeling sticky, helping keep you protected and comfortable wherever you go.

Age Restrictions – Suitable for adults and children over 12 years.

Always read the label before use.",10.5,5012616265525
Kalms Day 26mg Tablets (96),"Kalms Day 26mg Tablets are a traditional herbal remedy formulated to help relieve the symptoms of mild anxiety, stress, and nervous tension. Each tablet contains valerian root extract, known for its natural calming properties that promote relaxation without causing drowsiness. Ideal for use during the day to help you stay calm, focused, and in control when feeling tense or overwhelmed. Non-addictive and suitable for short-term use to support emotional balance and wellbeing.

Age Restrictions – Suitable for adults and children over 18 years.

Always read the Patient Information Leaflet before use.",11.1,5000477807220
Kalms Night 96mg Tablets (56),"Kalms Night 96mg Tablets are a traditional herbal remedy designed to promote restful, natural sleep. Each tablet contains valerian root extract, known for its calming properties that help ease restlessness and encourage relaxation before bedtime. Ideal for those experiencing sleeplessness caused by stress or anxiety, Kalms Night helps you drift off more easily and wake feeling refreshed without morning grogginess. Non-habit forming and suitable for short-term use.

Age Restrictions – Suitable for adults and children over 18 years.

Always read the Patient Information Leaflet before use.",7.2,5000477812224
LH Ovulation Rapid Test Midstream (5),"LH Ovulation Rapid Test Midstream helps you identify your most fertile days by detecting the surge of luteinising hormone (LH) in urine — a key indicator that ovulation is about to occur. This easy-to-use, at-home test provides over 99% accurate results within minutes, helping you plan or avoid pregnancy naturally. The midstream design ensures simple, hygienic testing with clear, easy-to-read results. Ideal for women tracking their cycle to better understand their fertility.

Age Restrictions – Suitable for adults and women over 16 years.

Always read the packaging and instructions before use.",11.5,6936983100526
Lemsip Max Cold & Flu Blackcurrant Sachets (Pack of 5),"Lemsip Max Cold & Flu Blackcurrant Sachets provide effective relief from cold and flu symptoms. Mix each sachet with hot water to create a warming blackcurrant-flavoured drink that relieves fever, headaches, sore throat, nasal congestion, and body aches. The formula combines pain relief with a decongestant to clear blocked noses and ease discomfort.

Age Restrictions - For adults and children aged 16 years and over only.

Always read Patient Information Leaflet before use.",4.9,5000158065703
Lemsip Max Cold & Flu Capsules (Pack of 16),"Lemsip Max Cold & Flu Capsules provide maximum strength relief from cold and flu symptoms including headache, sore throat, body aches and pains, nasal congestion, fatigue and drowsiness. The formula helps to lower fever and clear blocked nose, allowing you to breathe more easily and feel better faster.

Age Restrictions: For adults and children aged 16 years and over only.

Always read Patient Information Leaflet before use.",5.6,5000158064089
Lemsip Max Day & Night Capsules (Pack of 16),"Lemsip Max Day & Night Capsules provide round-the-clock relief from cold and flu symptoms. The daytime capsules offer non-drowsy relief from headaches, fever, blocked nose, sore throat, and body aches while helping to combat fatigue. The nighttime capsules ease symptoms to support restful sleep.

Age Restrictions - Not suitable for children under 12 years.

Always read Patient Information Leaflet before use.",6.8,5000158065420
Listerine Fresh Burst Mouthwash (500ml),"Listerine Fresh Burst Mouthwash kills up to 99.9% of bad-breath-causing germs for a cleaner, fresher mouth you can feel. 

Age Restrictions – Suitable for adults and children over 12 years.

Always read the packaging and usage instructions before use.",4,5010123703547
Loperamide Capsules (Pack of 10),"Loperamide capsules provide effective relief from diarrhea, including traveler's diarrhea and symptoms associated with irritable bowel syndrome. The medicine works by slowing down gut movement and helping your body absorb more water from the intestines, making stools firmer and reducing the frequency of bowel movements. Suitable for treating acute diarrhea that starts suddenly as well as recurring diarrhea from bowel conditions.

Age Restrictions - Not suitable for children under 2 years of age.

Always read Patient Information Leaflet before use.",2.6,5060637649886
Loratadine 10mg Tablets (Pack of 30),"Loratadine 10mg tablets provide relief from hay fever and allergy symptoms including sneezing, runny nose, itchy or watery eyes, and itchy throat. This non-drowsy antihistamine works within 1-3 hours to block the effects of histamine, offering 24-hour relief from allergic reactions to pollen, dust, pets, and other allergens.

Age Restrictions - Suitable for adults and children aged 6 years and over.

Always read Patient Information Leaflet before use.",4.6,5055144201054
Menopause Test (2),"Menopause Test helps you determine whether symptoms such as irregular periods, hot flushes, or mood changes may be related to the onset of menopause. This simple, at-home urine test detects elevated levels of follicle-stimulating hormone (FSH), which typically rise during the menopausal transition. Providing quick, easy-to-read results within minutes, it offers a convenient way to understand changes in your body and discuss them with a healthcare professional.

Age Restrictions – Suitable for adults and women over 16 years.

Always read the packaging and instructions before use.",9.3,6936983101127
Micropore Professional Care Tape 1.25cm x 5m,"Micropore Professional Care Tape 1.25cm x 5m is a gentle, breathable surgical tape designed to secure dressings and bandages on sensitive or delicate skin. Its hypoallergenic adhesive provides reliable hold without causing irritation, making it suitable for long-term use and repeated application. Ideal for protecting wounds, supporting dressings, or securing medical devices, this tape combines comfort with dependable performance for everyday first-aid and clinical care.

Age Restrictions – Suitable for all ages.

Always read the Patient Information Leaflet before use.",1.7,4054596748293
Mighty Patch Invisible+ (24 patches),"Mighty Patch Invisible+ is a thin, ultra-discreet hydrocolloid patch that helps cover and protect blemishes while absorbing impurities. Its gentle, effective design creates a clean, protective barrier that supports the skin’s natural healing process and helps reduce the appearance of surface-level spots. Ideal for daytime wear, its translucent finish blends seamlessly into the skin, offering comfortable, low-profile coverage you can rely on throughout the day.
Age Restrictions – Suitable for teens and adults.
Always follow the usage instructions provided on the packaging before use.",11.6,5010724000434
Mighty Patch Original (24 Patches),"Mighty Patch Original is a hydrocolloid acne patch that helps visibly flatten pimples while protecting them from dirt and picking. Its gentle yet powerful formula absorbs excess fluid, reduces redness, and promotes faster healing overnight. The thin, transparent patch adheres securely and blends discreetly into skin for comfortable, all-day or night wear. Dermatologist-tested and safe for all skin types, it’s an easy, mess-free way to treat blemishes.

Age Restrictions – Suitable for teens and adults.

Always read the label before use.",9.3,5010724000328
Murine Dry & Tired Eye Drop (15ml),"Murine Dry & Tired Eye Drops provide instant relief and hydration for dry, strained, and tired eyes. The soothing formula refreshes and lubricates eyes affected by screen use, contact lenses, or environmental factors. Suitable for adults and children aged 12 years and over. Do not use while wearing contact lenses. Always read the Patient Information Leaflet before use.",5.8,5060018881478
My Little Sudocrem (22g),"My Little Sudocrem (22g) soothes, protects, and helps care for delicate skin. Its gentle antiseptic formula forms a protective barrier, supporting natural healing while guarding against irritants and moisture. Ideal for nappy rash, minor irritations, and everyday skin care, this mild, easy-to-apply cream provides lasting comfort and protection for babies and young children.

Age Restrictions – Suitable for infants and children.

Always read the product information and usage guidelines before use.",2.3,53992741
NIVEA After Sun Moisture (200ml),"NIVEA Sun After Sun Moisture provides instant relief and long-lasting hydration after sun exposure. Enriched with Aloe Vera and Avocado Oil, this soothing lotion helps cool, refresh, and restore the skin’s natural moisture balance, leaving it soft and smooth. Its fast-absorbing, non-sticky formula supports skin regeneration and prolongs your tan for a healthy, cared-for feel.

Age Restrictions – Suitable for all ages.

Always read the label before use.",7.5,4005808478941
NIVEA SUN Babies & Kids Sensitive Protect 50+ SPF Lotion (200ml),"NIVEA Sun Babies & Kids Sensitive Protect SPF 50+ Lotion provides highly effective UVA/UVB protection specially developed for delicate young skin. Its gentle, fragrance-free formula with Organic Chamomile helps reduce the risk of sun-induced irritation while offering immediate, water-resistant protection. Dermatologically approved and caring to sensitive skin, it keeps little ones safe in the sun for worry-free outdoor play.

Age Restrictions – Suitable for babies and children.

Always read the label before use.",7.2,4005900600202
NeilMed Sinus Rinse Premixed Sachets (10),"NeilMed Sinus Rinse Premixed Sachets provide a soothing, natural way to relieve nasal congestion, sinus pressure, and allergy symptoms. Each sachet contains a precisely measured, pH-balanced saline mixture that gently cleanses the nasal passages, removing mucus, allergens, and irritants. When mixed with warm distilled or boiled water, it creates a comfortable saline solution for daily nasal hygiene or sinus relief. Ideal for use with the NeilMed Sinus Rinse bottle or similar devices.

Age Restrictions – Suitable for adults and children over 4 years.

Always read the packaging and instructions before use.",11.6,705928003101
NeilMed Sinus Rinse Premixed Sachets (60),"NeilMed Sinus Rinse Premixed Sachets provide a soothing, natural way to relieve nasal congestion, sinus pressure, and allergy symptoms. Each sachet contains a precisely measured, pH-balanced saline mixture that gently cleanses the nasal passages, removing mucus, allergens, and irritants. When mixed with warm distilled or boiled water, it creates a comfortable saline solution for daily nasal hygiene or sinus relief. Ideal for use with the NeilMed Sinus Rinse bottle or similar devices.

Age Restrictions – Suitable for adults and children over 4 years.

Always read the packaging and instructions before use.",17.4,705928001008
Nelsons Teetha Teething Granules Sachets (24),"Nelsons Teething Granules Sachets (24) soothe, protect, and help relieve discomfort associated with teething in infants. Its gentle, homeopathic formula supports natural comfort and helps ease irritability, while being easy to administer when needed. Ideal for use during the teething period, these convenient sachets provide safe, effective care for little ones.
Age Restrictions – Suitable for infants from 4 months.

Always read the product information and usage guidelines before use.",6,50488780
Nicorette Freshmint 4mg Nicotine Gum (105),"Nicorette 4mg Nicotine Gum helps you control cravings and withdrawal symptoms when quitting smoking. Each piece delivers a controlled dose of nicotine to satisfy urges and make it easier to reduce dependence gradually. The gum is available in a fresh flavour and can be chewed whenever cravings strike, helping you stay in control and smoke-free.

Age Restrictions – Suitable for adults and young people over 12 years.

Always read the Patient Information Leaflet before use.",19.7,5010123718220
Nicorette Icy White 2mg Nicotine Gum (30),"Nicorette 2mg Nicotine Gum helps reduce cravings and withdrawal symptoms when cutting down or quitting smoking. Each piece provides a controlled dose of nicotine to help manage urges and ease the transition to a smoke-free lifestyle. Available in a refreshing flavour, it can be chewed when cravings occur, offering flexible, on-the-go support.

Age Restrictions – Suitable for adults and young people over 12 years.

Always read the Patient Information Leaflet before use.",8.9,3574661571645
Nurofen Cold & Flu (24 Tablets),"Nurofen Cold & Flu (24 Tablets) provides fast, effective relief from the aches, pains, fever, and congestion associated with colds and flu. Each tablet combines ibuprofen and a decongestant to reduce discomfort, ease nasal and sinus congestion, and help you feel more comfortable. Ideal for short-term relief during illness, these easy-to-take tablets help restore comfort so you can get through your day.

Age Restrictions – Suitable for adults and children aged 12 years and over.

Always read the Patient Information Leaflet before use.",6.8,5000167010879
Nurofen Day & Night Cold & Flu (16 Tablets),"Nurofen Day & Night Cold & Flu (16 Tablets) provides targeted relief from the symptoms of colds and flu, helping you manage discomfort throughout the day and night. The daytime tablets combine ibuprofen with a decongestant to ease aches, pains, fever, and nasal congestion, while the nighttime tablets contain pain relief and a gentle sleep aid to support rest. Ideal for short-term use, this convenient day-and-night pack helps you feel more comfortable and recover more easily.

Age Restrictions – Suitable for adults and children aged 12 years and over.

Always read the Patient Information Leaflet before use.",6.9,5000158104334
Nurofen Express 400mg Liquid Capsules (Pack of 10),"Nurofen Express 400mg Liquid Capsules provide fast-acting relief from headaches, migraines, backache, period pain, dental pain, muscular and rheumatic pain, neuralgia, cold and flu symptoms, feverishness, and non-serious arthritic pain. Contains ibuprofen, an NSAID that reduces pain, swelling, inflammation and fever. The liquid capsules break down quickly in the body for rapid absorption and faster relief than standard tablets, with effects lasting up to 8 hours.

Age Restrictions: Suitable for adults and children aged 12 years and over.

Always read Patient Information Leaflet before use.",5.2,5000158100770
Nurofen For Children Strawberry Liquid (100ml),"Nurofen for Children Strawberry Liquid provides fast-acting pain and fever relief for babies and children. It starts working in 15 minutes and lasts up to 8 hours. This ibuprofen suspension helps relieve teething pain, toothache, sore throats, headaches, muscular aches, sprains, cold and flu symptoms, fever, and post-immunisation fever. Sugar free with no artificial colors or flavors. Includes an easy-dosing syringe.

Age Restrictions: For babies and children 3 months and over weighing more than 5kg, up to 9 years.

Always read Patient Information Leaflet before use.",5.2,5000158100589
Nurofen Joint & Muscular Pain Relief 200mg Medicated Plaster,"Nurofen Joint & Muscular Pain Relief 200mg Medicated Plaster provides targeted, fast-acting relief from localized joint and muscle pain. Each plaster contains ibuprofen, a proven anti-inflammatory ingredient that helps reduce pain and swelling at the site of discomfort. Designed to stick securely while remaining flexible, it delivers continuous, soothing relief for strains, sprains, backache, and muscular aches, helping you stay active and comfortable.
Age Restrictions – Suitable for adults and children aged 12 years and over.
Always read the Patient Information Leaflet before use.",16.2,5011417581858
Nurofen Meltlets Lemon 200mg (12 Tablets),"Nurofen Meltlets Lemon 200mg provide fast and effective relief from pain and fever. The convenient, fast-melting tablets dissolve on the tongue without water, making them ideal for headaches, toothaches, muscle aches, and mild colds. Suitable for adults and children aged 12 years and over. Do not exceed the recommended dose and avoid use with other ibuprofen-containing products. Always read the Patient Information Leaflet before use.",5.6,5000167047523
Nuromol Dual Action Pain Relief (16 Tablets),"Nuromol Dual Action Pain Relief combines ibuprofen and paracetamol to provide fast and effective relief from pain and inflammation. Ideal for headaches, toothaches, muscle aches, and period pain, it works quickly to reduce discomfort and fever. Suitable for adults and children aged 12 years and over. Do not exceed the recommended dose and avoid taking with other ibuprofen- or paracetamol-containing products. Always read the Patient Information Leaflet before use.",5.3,5011417583227
Nytol Herbal Tablets (30),"Nytol Herbal Tablets provide gentle, natural relief to help you drift off into restful sleep. Formulated with a traditional blend of natural herbs including valerian, hops, and passion flower, these tablets are designed to promote relaxation and improve sleep quality without causing drowsiness the next day. Ideal for those experiencing occasional sleeplessness or difficulty relaxing before bed, Nytol Herbal offers a soothing, non-addictive way to support healthy sleep patterns.

Age Restrictions – Suitable for adults and children over 18 years.

Always read the Patient Information Leaflet before use.",7.2,5012616291661
O.R.S Strawberry Flavour Soluble Hydration Tablets (12 Tablets),"O.R.S Strawberry Flavour Soluble Hydration Tablets help restore fluids and electrolytes lost due to dehydration, illness, or vigorous exercise. The strawberry-flavoured tablets dissolve quickly in water for easy, fast hydration. Suitable for adults and children aged 1 year and over (under 2 years with medical supervision). Always read the Patient Information Leaflet before use.",4.5,5060135050146
Olbas Oil Decongestant (12ml),"Olbas Oil is a natural decongestant containing essential plant oils. When inhaled, it provides powerful relief from blocked, stuffy noses caused by colds, flu, hay fever and sinus infections, helping to open up nasal and bronchial passages for easier breathing. Can also be applied to the skin to help soothe muscle aches, pain and stiffness associated with backache and arthritis.

Age Restrictions:
Suitable from 3 months old. Direct skin application not recommended for children under 12 years.

Always read Patient Information Leaflet before use.",6,5000477671180
Optrex Acti-Mist Itchy Eyes Spray (10ml),"Optrex Acti-Mist Itchy Eyes Spray (10ml) soothes, protects, and helps relieve irritation and discomfort caused by itchy, watery eyes. Its fast-acting, preservative-free formula helps flush out allergens and impurities while providing a refreshing, cooling effect. Ideal for use during allergy season or environmental exposure, this easy-to-use spray provides gentle, effective relief for sensitive eyes.
Age Restrictions – Suitable for adults and children over 12 years.

Always read the product information and usage guidelines before use.",15.2,5000158069473
Optrex Hayfever Relief Eye Drops (10ml),"Optrex Hayfever Relief Eye Drops provide fast-acting relief from redness, itching, and irritation caused by pollen, dust, and pet allergens. The soothing formula helps calm and protect eyes from allergic reactions. Suitable for adults and children aged 6 years and over. Do not use while wearing contact lenses. Always read the Patient Information Leaflet before use.",7.5,5052197053623
Optrex Moisturising Eye Drops Dry Eyes (10ml),"Optrex Moisturising Eye Drops provide soothing and long-lasting relief for dry, irritated, and tired eyes. Formulated with hydrating ingredients to restore the eye’s natural moisture balance, they help refresh and comfort eyes affected by wind, screen use, or contact lenses. Suitable for adults and children aged 12 years and over. Do not use while wearing contact lenses. Always read the Patient Information Leaflet before use.",6.5,5011417590911
Optrex Soothing Eye Drops Itchy Eyes (10ml),"Optrex Soothing Eye Drops for Itchy Eyes provide gentle relief from irritation and discomfort caused by pollen, dust, and other allergens. The specially formulated drops soothe and refresh tired, itchy eyes while helping to restore natural moisture balance. Suitable for adults and children aged 12 years and over. Do not use while wearing contact lenses. Always read the Patient Information Leaflet before use.",7.5,5011417590874
Orajel Dental Gel 10% (5.3g),"Orajel Dental Gel 10% provides fast-acting relief from toothache and pain caused by cavities or gum irritation. Its powerful formula contains 10% w/w benzocaine, a local anaesthetic that numbs the affected area to quickly soothe discomfort and make eating and drinking easier. The easy-to-apply gel targets pain directly at the source, offering convenient, on-the-spot relief whenever needed. Ideal for short-term use until professional dental advice can be sought.

Age Restrictions – Not suitable for children under 12 years.

Always read the Patient Information Leaflet before use.",5.8,5060025370019
Oral-B Satin Tape (25m),"Oral-B Satin Tape provides a smooth, effective clean between teeth, helping to remove plaque and food particles where a toothbrush can’t reach. Its silky, ribbon-like texture slides easily between tight spaces, making flossing more comfortable and gentle on gums. The mint-flavoured tape leaves your mouth feeling fresh and clean, while its wide design offers extra surface contact for thorough plaque removal. Ideal for daily use as part of your oral hygiene routine to support healthy gums and a brighter smile.

Age Restrictions – Suitable for adults and children over 12 years.

Always read the packaging and usage instructions before use.",2.3,5010622017978
Oral-B Super Floss Dental Floss (50),"Oral-B Super Floss Dental Floss is specially designed to clean around braces, bridges, and wide gaps between teeth, where regular floss can’t reach. It features three unique components — a stiffened end for easy threading, a spongy section for gentle cleaning around appliances, and regular floss for removing plaque under the gumline. This all-in-one design makes it simple to achieve a thorough clean and maintain healthy gums and teeth. Ideal for daily use as part of your oral care routine.

Age Restrictions – Suitable for adults and children over 12 years.

Always read the packaging and usage instructions before use.",4.2,4103330017369
Oralieve Dry Mouth Relief Spray (50ml),"Oralieve Dry Mouth Relief Spray provides fast, soothing relief from the discomfort of dry mouth, helping to keep your mouth feeling fresh and hydrated throughout the day. Its gentle, pH-balanced formula contains natural enzymes and moisturisers that support the mouth’s natural protection system while maintaining oral comfort. The convenient spray format offers instant moisture and lasting freshness, ideal for use anytime, anywhere. Perfect for people affected by medication side effects, stress, or medical conditions causing dry mouth.

Age Restrictions – Not suitable for children under 12 years.

Always read the Patient Information Leaflet before use.",9,5391520750199
Otex Express Combi Pack Ear Wax Removal Kit (10ml),"Otex Express Complete Wax Removal Kit quickly and effectively softens and removes hardened ear wax to help relieve discomfort and improve hearing clarity. This easy-to-use kit combines powerful Otex Express Ear Drops with a gentle bulb syringe for thorough, safe ear cleaning at home. The advanced urea hydrogen peroxide formula breaks down ear wax while releasing oxygen to aid natural removal. Proven to help clear blocked ears without the need for professional syringing, it’s ideal for regular ear care.

Age Restrictions – Not suitable for children under 12 years.

Always read the Patient Information Leaflet before use.",10.2,5016379000072
